t	H2	mod	nest	conn	Fmean
6400	0.896204371254271	0.396412923126444	0.549489144316731	0.0587409905565056	0.110007985714286
6500	0.897558774405542	0.396814967265554	0.548668126254333	0.0586774754435759	0.110031285714286
6600	0.898825976684179	0.39719563589666	0.548668126254333	0.0586175087272678	0.110053485714286
6700	0.900105531022335	0.397554959929829	0.54834884145229	0.0585608084180943	0.1100753
6800	0.901311642513621	0.397894887356014	0.54834884145229	0.0585073332576288	0.110095885714286
6900	0.902449728067453	0.398217106215354	0.548029556650246	0.0584569022659514	0.110115671428571
7000	0.903523159373334	0.398336293644132	0.548029556650246	0.0584092756320633	0.110134814285714
7100	0.904535486931168	0.398807759234032	0.548029556650246	0.058364320119747	0.110152757142857
7200	0.905489006889356	0.399079567347503	0.548029556650246	0.0583219416692445	0.110169771428571
7300	0.906403283844785	0.399169243834435	0.548029556650246	0.0582819485108	0.110185885714286
7400	0.907211528636293	0.399419452119164	0.548029556650246	0.0582442897228122	0.1102014
7500	0.907984028104267	0.399653770190938	0.548029556650246	0.058208595897593	0.110215857142857
7600	0.908709857969126	0.400030944445836	0.548029556650246	0.0581749501075205	0.1102294
7700	0.90939175324808	0.400238217961124	0.548029556650246	0.0581431226545462	0.110242214285714
7800	0.91003266680146	0.400290605665153	0.547208538587849	0.0581130564186508	0.110254285714286
7900	0.910652122586754	0.400479938856817	0.547208538587849	0.0580844909073494	0.110265485714286
8000	0.911244339611177	0.400742861024336	0.546387520525452	0.0580574437764815	0.110275642857143
8100	0.91184097747579	0.40096611739609	0.547208538587849	0.0580317658516129	0.110285371428571
8200	0.912393685077876	0.401068273069274	0.547208538587849	0.0580073334386898	0.110294228571429
8300	0.912908998858093	0.401278689128164	0.547208538587849	0.0579841149850304	0.1103025
8400	0.913409281466389	0.401422898718945	0.547208538587849	0.0579619309923717	0.110309914285714
8500	0.913884205045653	0.401562145545115	0.547208538587849	0.0579408070324548	0.1103169
8600	0.914335355988009	0.401576700318555	0.547208538587849	0.05792053322322	0.110323157142857
8700	0.914764744160221	0.40182078379507	0.547208538587849	0.0579011150212288	0.110328728571429
8800	0.915195770561476	0.401877331966799	0.547208538587849	0.0578823807290793	0.110334014285714
8900	0.915611264060218	0.402057076708748	0.547208538587849	0.057864448296611	0.110338728571429
9000	0.915999531691311	0.402166752617072	0.547208538587849	0.0578470423833761	0.110343028571429
9100	0.916380356817182	0.402167191476655	0.547208538587849	0.0578301892699552	0.110346771428571
9200	0.916748556322322	0.4023754367645	0.547208538587849	0.0578139856676161	0.110350114285714
9300	0.917104427215575	0.402472749258105	0.547208538587849	0.057798114299539	0.110353057142857
9400	0.917449504048988	0.402567062318324	0.547208538587849	0.0577826772775487	0.110355742857143
9500	0.917784882544048	0.402658003286123	0.547208538587849	0.0577676181631674	0.110358171428571
9600	0.918112789404159	0.402745553705437	0.547208538587849	0.0577528850520016	0.110360071428571
9700	0.918437503018783	0.402829728757969	0.548029556650246	0.0577384174961784	0.110361728571429
9800	0.918767326050968	0.402840155992266	0.548029556650246	0.0577241835219039	0.110363114285714
9900	0.919090167602889	0.402990422885256	0.548029556650246	0.05771023071462	0.110364285714286
10000	0.919405979144875	0.403067045736837	0.548850574712644	0.0576964446096113	0.110365214285714
10100	0.919714529993765	0.403141386617515	0.548850574712644	0.0576828549313759	0.1103659
10200	0.920018547821106	0.403139743029512	0.548850574712644	0.057669384050569	0.110366371428571
10300	0.920315826769982	0.403282322250006	0.548850574712644	0.0576559640197807	0.1103669
10400	0.920609357805197	0.403269727612187	0.548850574712644	0.0576427684800314	0.1103672
10500	0.920898170129217	0.403416703708703	0.548850574712644	0.0576295845689963	0.110367
10600	0.921191424505235	0.403481997297761	0.548850574712644	0.05761653984361	0.110367014285714
10700	0.921481205216093	0.403466259473242	0.548850574712644	0.057603474993514	0.110366942857143
10800	0.921769315858709	0.40360528053165	0.548029556650246	0.0575904964990422	0.110366542857143
10900	0.922055095317532	0.40359028451385	0.548029556650246	0.0575776027336477	0.110366071428571
11000	0.922338784867286	0.403722972046046	0.548029556650246	0.0575646402287442	0.110365814285714
11100	0.92262128144726	0.403780862662086	0.547208538587849	0.0575517816937059	0.110365085714286
11200	0.922901832540131	0.403761979099501	0.547208538587849	0.0575388119494119	0.1103646
11300	0.923187195022271	0.403890751167408	0.547208538587849	0.0575260453445259	0.1103639
11400	0.923471885510145	0.403871845088544	0.547208538587849	0.0575131044883676	0.1103633
11500	0.92375450081866	0.403925569088676	0.547208538587849	0.0575002938053086	0.110362357142857
11600	0.924036327126075	0.404045637328424	0.545566502463054	0.0574874251775646	0.110361671428571
11700	0.924317427054096	0.404097049293577	0.545566502463054	0.0574746503852756	0.1103608
11800	0.924596825968971	0.404144341209155	0.545566502463054	0.0574617354766793	0.110360028571429
11900	0.924875270036901	0.404193734723336	0.545566502463054	0.0574489572000308	0.110359085714286
12000	0.925152084388939	0.404173502356244	0.544745484400657	0.0574360657454972	0.110357957142857
12100	0.925428569926668	0.404221016929469	0.544745484400657	0.0574232888905988	0.110356942857143
12200	0.925703683646877	0.404331427976041	0.545566502463054	0.0574104438574011	0.110356171428571
12300	0.925977399228512	0.404310636692407	0.545566502463054	0.0573975958764643	0.110355257142857
12400	0.926249401792612	0.404418831296023	0.545566502463054	0.0573848372221166	0.110354
12500	0.926520532915606	0.404460562415218	0.545566502463054	0.0573720116123452	0.110353014285714
12600	0.926790806693094	0.404501063633558	0.545566502463054	0.0573591756318981	0.110352014285714
12700	0.927059310146981	0.404480415090983	0.545566502463054	0.0573464755301899	0.110351285714286
12800	0.927324844109723	0.404522069094978	0.545566502463054	0.0573338030882694	0.1103501
12900	0.927578001038087	0.404621845621263	0.544745484400657	0.0573210759536596	0.1103489
13000	0.927829036574343	0.404659065253365	0.544745484400657	0.0573083574232436	0.110347814285714
13100	0.928078422573011	0.404696359125771	0.544745484400657	0.0572957292414996	0.110346885714286
13200	0.928325796743433	0.404732790403497	0.544745484400657	0.0572831355125941	0.1103459
13300	0.928571605312105	0.404768801783884	0.544745484400657	0.0572706002766234	0.110344928571429
13400	0.928814815438334	0.404746479556651	0.544745484400657	0.0572581946420339	0.1103438
13500	0.929055646208162	0.404780890779942	0.544745484400657	0.0572457442998647	0.1103428
13600	0.929298904973047	0.404873009362588	0.544745484400657	0.0572333581053963	0.110341657142857
13700	0.929545405025411	0.404848055422192	0.544745484400657	0.0572210608505212	0.110340785714286
13800	0.92979094147013	0.404938263719982	0.544745484400657	0.0572088251286926	0.110339757142857
13900	0.930033793828377	0.404911787099958	0.545247217661011	0.0571966205933404	0.110338742857143
14000	0.930275512886582	0.404943393006078	0.545247217661011	0.0571845565671799	0.110337857142857
14100	0.930514092804768	0.404973391444118	0.545247217661011	0.057172527205642	0.110336814285714
14200	0.930750807152293	0.405003040127021	0.545247217661011	0.0571605879191699	0.110335757142857
14300	0.930984952115782	0.405032177481913	0.545247217661011	0.0571487481707808	0.110334857142857
14400	0.931216686497241	0.405116951829686	0.543605181536216	0.0571370051044187	0.110333957142857
14500	0.931445238056943	0.405087998042297	0.543605181536216	0.0571253270022051	0.110332914285714
14600	0.931672571982847	0.405170006313301	0.543605181536216	0.0571137287943452	0.110331714285714
14700	0.931896826618687	0.405197047613278	0.543605181536216	0.0571023107090404	0.110330957142857
14800	0.932117519107964	0.40522061137522	0.543605181536216	0.0570908660024538	0.110330042857143
14900	0.932336814335707	0.405190390823468	0.543605181536216	0.0570796211933206	0.110329271428571
